Location,Longitude,Latitude
CROSBY MOTORS,-81.72444449624932,30.367225701119764
JEA SOUTHSIDE GEN STATION,-81.76943055758036,30.42903371860252
OSCEOLA FOREST SITE #6,-82.6366689969516,30.18833608466837
USCG CROOKED RIVER LIGHT,-84.70128352603027,29.826345054547616
PEELE-DIXIE WELLFIELD SITE,-80.20555705099397,26.095281925184423
ABM HEALTHCARE SUPPORT SERVICES,-81.68906050987246,30.307903625155358
ORLANDO MERCURY SPILL,-81.28359902445101,28.57237334544371
DUBOSE OIL PRODUCTS CO.,-87.37695400383843,30.618063678636176
JONES CHEMICAL,-81.62727343386638,30.341001642265308
PLANT CITY LANDFILL,-82.12166408338625,28.018336035318242
"LA ROCHE INDUSTRIES, INC",-81.60420728782708,28.161602300407704
PINE HILLS LANDFILL,-81.45083218402378,28.604170522794313
"APPLIED ELECTRONICS TECHNOLOGY, INC.",-81.38855916744771,28.615973450850987
LEE FIELD SPOIL AREA 1,-81.66348663842469,29.989144198759757
BMI-TEXTRON,-80.07380006167699,26.793703722504794
NORMANDY PARK APARTMENTS,-82.39472170642,28.049447374957893
FORMER DRUMMOND PROPERTY,-81.04577985567008,29.23598354177002
GRACE W R & CO BONNY LAKE MINE,-81.83499662966565,27.896670002081134
PAONE PROPERTY,-82.79996017328529,27.94533313359459
FMC CORP,-82.39183514073032,27.96022827077963
SUNILAND DRY CLEANERS,-80.2933352789699,25.668337196529187
SADLER DRUM SITE,-81.99221851327921,27.894725688341442
FORMER SPELLMAN ENGINEERING,-81.36827544665279,28.563175831221137
STORAGETEK PRINTER OPS.,-80.59163363665031,28.042767721319844
THEOCHEM LABORATORIES,-82.52992827096566,28.002830705889515
FEDERAL BATTERY & CABLE MANUFACTURING CO,-80.26051162386497,25.861344136746318
"AMERICAN CREOSOTE WORKS, INC. (PENSACOLA PLANT)",-87.23666570997422,30.404720684624944
NATIONS BANK PROPERTY,-82.54665960119138,27.457924177881907
CROSS CITY DUMP (NORTH OF CROSS CITY DUMP),-83.10722311437668,29.662502681092665
ROYAL OAKS GOLDENS TAROFCEN FLA,-80.91696371023518,28.986214509932353
ASHCROFT MERCURY SPILL,-82.89237120168963,29.57287307523114
US NAVAL FD/TRNG SAUFLEY FIELD,-87.30000509334907,30.350003161409052
UMATILLA HG SPILL,-81.80830142634775,28.99525306817064
WILSON-HOPPER PIT,-80.32552164735579,25.842014256808067
USN NAVAL COASTAL SYSTEMS CTR,-85.54000154721409,30.28333665512327
SIXTY-SECOND STREET DUMP,-82.38638810628203,27.969442216875265
AMERICAN WOOD PRODUCTS,-82.59333492325463,30.178336149212285
TECO/DNR-PORT MANATEE SITE,-82.54944372766481,27.64305991612869
TRANSPORTATION SECURITY ADMIN TSA AT TAMPA INTL AIRPORT TPA,-82.5353102338207,27.977404713418565
WHITEHOUSE OIL PITS,-81.8513009806358,30.32010344321288
ORTEGA FARMS DUMP,-81.71356956717442,30.23722356072473
GEORGETOWN CHEMICAL STORAGE,-81.62443069488639,29.383473079040762
TRULY NOLEN CO.,-81.3938119851501,28.549152450680626
2858 MAHAN DRIVE MERCURY SPILL,-84.23018741672502,30.459389325870863
USDA APHIS ADC FLORIDA FIELD STA,-82.28741169614858,29.65354389210836
LINCOLN PARK,-80.16677101532844,26.12918377580021
UNIQUE ELECTRONICS INC,-81.38578889910596,28.516468442230433
PEAK OIL CO./BAY DRUM CO.,-82.34039865931557,27.970802976310807
DUNAWAY LEAD,-82.73198006764596,27.88352335555459
HILLSBOROUGH COUNTY RESOURCE RECOVERY,-82.40888822454589,27.914725469235073
TOWN OF MAYO DUMP,-83.1494460357689,30.030306118449154
"MORSAN, INC.",-80.24560150146866,25.904194115314507
PARRAMORE SURPLUS,-84.69375359581349,30.6606945569771
UNIWELD PRODUCTS INC,-80.17250110057152,26.085003824963923
REYNOLDS INDUSTRIAL PARK DUMP,-81.69666736872287,29.986670656313
ORANGE LAKE DUMP,-82.2099851230916,29.4120289372525
NORTH PORT LANDFILL,-82.2199997557339,27.057226967565477
TURNER ELECTRIC,-81.64312044551227,30.34506364991515
APF INDUSTRIES,-82.77178391405457,27.817644325615944
ZELLWOOD GROUND WATER CONTAMINATION,-81.61333118196683,28.731953762036813
CENTURION LEASING CO.,-81.71500149837304,30.354868682477044
AMELIA EARHART DRUM SITE,-80.27499155268,25.88171416717306
NOCATEE HULL CREOSOTE,-81.88333232961232,27.160004804876884
POMPANO CITY DUMP,-80.12732078853053,26.26064358138811
AERODEX PONDS,-80.21000175552315,25.818336962722427
AIRGAS CANTONMENT EXPLOSION,-87.25246564642157,30.595891496061792
US AIR FORCE (MACDILL AFB),-82.50174606636061,27.84543089425365
WHITING FIELD BLDG 2958,-87.0204205583357,30.709722357876622
BETHEL CHURCH ROAD MERCURY,-81.89077996427979,30.62741549959498
EVERGLADES FERTILIZER COMPANY FIRE-SITE,-80.16861202777977,26.122225785623467
WOODBURY CHEMICAL,-81.36476978158052,28.446671607736075
ARTCRAFT INDUSTRIES,-81.2741932501899,28.807583222715504
HILLSBOROUGH HEIGHTS LANDFILL,-82.27833108250151,27.98166960238384
BROOK FOREST DRIVE MERCURY,-87.16650304294504,30.510712318260246
DEL RAY COURT (GARDEN TERRACE APT)  MERCURY RESPONSE,-82.39993955103779,28.02834331201326
WOODBURY CHEMICAL CO. (PRINCETON PLANT),-80.41240279230404,25.5367045720881
DEERFIELD CLEANERS AND LAUNDRY INC.,-80.10245370531194,26.31944651908091
STOTT BOLT & SUPPLY CORP.,-81.74554054986265,30.32510365167562
HELENA CHEMICAL CO. (TAMPA PLANT),-82.37481198076898,27.96393417500581
"TRANS CIRCUITS, INC.",-80.07388906117912,26.795281721766077
